Wall time,Step,Value
1621835469,88938,68859.85156
1621835469,88977,47794.61719
1621835469,89009,139930.4688
1621835471,89601,73030.47656
1621835472,90035,15404.09277
1621835472,90104,40850.07422
1621835473,90394,26463.75391
1621835473,90410,40741.68359
1621835473,90580,66669.48438
1621835473,90617,27698.54492
1621835475,91000,119048.5859
1621835475,91019,32137.0957
1621835479,92740,50241.79688
1621835479,92774,13840.83008
1621835480,93271,20233.57031
1621835483,94413,31379.93359
1621835484,94605,114180.7969
1621835485,95093,117848.1172
1621835486,95543,45502.51563
1621835487,95690,47125.57031
1621835488,96018,18422.17578
1621835490,96784,23108.4375
1621835490,96869,20663.69141
1621835490,97012,30338.58984
1621835491,97397,18696.18164
1621835492,97670,21358.02344
1621835493,98141,27428.1875
1621835495,98678,14194.83105
1621835495,98819,8042.756348
1621835497,99351,2269.627441
1621835497,99367,10921.60059
1621835498,99977,7394.783203
1621835498,100039,16623.97461
1621835499,100241,12132.94434
1621835502,101304,8896.628906
1621835503,101628,8814.667969
1621835503,101651,6622.150879
1621835505,102124,3913.310547
1621835506,102733,32902.41797
1621835506,102792,6170.958008
1621835508,103227,8816.754883
1621835508,103475,9578.347656
1621835509,103905,3135.483154
1621835511,104541,4785.323242
1621835512,104789,14953.11719
1621835513,105062,2482.249268
1621835513,105382,3251.280029
1621835514,105485,9907.404297
1621835516,106306,11550.57617
1621835517,106540,12613.94336
1621835517,106605,7077.59375
1621835519,107231,6510.19043
1621835520,107801,6721.303711
1621835521,107991,2182.354248
1621835521,108217,25417.73828
1621835522,108479,6784.376465
1621835523,109060,6440.738281
1621835525,109511,3658.732178
1621835525,109619,5203.057617
1621835526,109889,5076.597656
1621835528,110594,3584.990723
1621835528,110863,4677.26123
1621835528,110922,10736.67871
1621835529,111002,6874.045898
1621835529,111077,33176.91406
1621835530,111340,5948.994629
1621835530,111504,9369.036133
1621835531,111928,1912.519531
1621835531,111948,3524.007568
1621835533,112690,2960.977783
1621835534,112885,830.7679443
1621835534,112916,1009.491821
1621835534,112971,1566.217285
1621835534,113006,1365.113647
1621835534,113016,6763.865234
1621835535,113522,5040.493652
1621835536,113952,410.0982666
1621835537,114281,5406.36377
1621835538,114339,2125.523926
1621835539,114901,1079.024658
1621835539,114929,565.6668701
1621835540,115098,306.7848511
1621835540,115439,2113.605957
1621835541,115615,3876.778564
1621835541,115779,6474.27832
1621835541,115793,1341.447876
1621835543,116272,182.6176147
1621835543,116395,669.5439453
1621835544,116571,4744.027344
1621835544,116671,618.4938965
1621835547,117842,3711.438721
1621835549,118591,1907.580078
1621835551,119247,970.2463379
1621835551,119248,846.4039917
1621835551,119306,601.012207
1621835552,119827,203.4480743
1621835553,120229,2546.30249
1621835554,120423,241.10495
1621835555,120646,187.6149139
1621835556,121199,368.8545227
1621835556,121328,1288.268311
1621835557,121703,8110.224121
1621835558,121920,130.1612091
1621835560,122708,3281.217529
1621835561,122907,65.62197876
1621835562,123327,282.2073364
1621835562,123594,275.8611755
1621835563,123746,1742.380615
1621835563,123985,512.734375
1621835564,124297,75.67552185
1621835566,125101,204.6902313
1621835568,125512,777.5155029
1621835568,125524,112.1881409
1621835569,125884,920.1115112
1621835569,126045,358.4108582
1621835571,126679,83.50753784
1621835571,126717,2356.166504
1621835571,126789,701.394165
1621835572,127053,143.8497925
1621835572,127161,1589.236328
1621835573,127641,809.1161499
1621835574,127831,239.2660217
1621835574,127947,179.8705139
1621835575,128196,58.31970215
1621835576,128657,270.9695129
1621835577,129004,148.2016144
1621835578,129308,442.6332397
1621835580,129985,404.4229431
1621835583,131198,117.8750153
1621835583,131199,228.1160126
1621835584,131338,560.0582886
1621835584,131368,31.06111336
1621835584,131409,34.82435989
1621835585,131841,166.5921326
1621835586,132211,288.2953491
1621835587,132628,28.9408474
1621835587,132640,49.19657898
1621835588,133074,73.83850098
1621835590,133639,115.0953674
1621835590,133672,47.53586197
1621835591,134203,56.33222961
1621835593,134766,123.3135605
1621835594,135296,40.21709442
1621835600,137548,25.81902885
1621835600,137643,48.81391144
1621835601,137884,15.95325661
1621835602,138118,23.78538132
1621835602,138310,47.27619934
1621835602,138414,9.872344017
1621835604,139152,20.78101349
1621835605,139324,73.71768951
1621835605,139412,20.76850319
1621835605,139508,28.73439217
1621835606,139551,14.65015984
1621835607,139931,18.87381744
1621835607,140077,54.54320145
1621835611,141686,33.49859619
1621835611,141740,19.65320587
1621835612,141882,21.56897926
1621835614,142682,67.26029968
1621835615,142922,101.6890717
1621835616,143324,12.06980515
1621835617,143866,77.21421051
1621835617,144013,20.52611542
1621835618,144382,17.32975388
1621835618,144395,7.432848454
1621835619,144480,14.13651562
1621835620,144883,16.72127151
1621835620,144989,12.70174313
1621835622,145621,13.74458885
